"Year","Total","Letters"
2002,351936.23,"ab"
2003,263479.97,"ab"
2004,442541.82,"ab"
2005,137607.13,"ab"
2006,268416.68,"ab"
2007,349375.08,"a"
2008,460963.21,"a"
2009,258875.76,"ab"
2010,277614.36,"ab"
2011,139503.87,"ab"
2012,226361.06,"ab"
2013,130122.32,"ab"
2014,103325.9,"b"
2015,220424.58,"ab"
2016,237977.68,"ab"
2017,137714.79,"ab"
