"Quarter","n","mean","sd","lower","upper","Letters"
"1",282,0,0,0,0,"a"
"2",272,3.062,8.98,-5.918,12.042,"b"
"3",312,0.612,1.596,-0.984,2.208,"c"
"4",302,1.553,5.256,-3.703,6.809,"c"
