"Quarter","n","mean","sd","lower","upper"
1,49,0.744,1.466,-0.722,2.21
2,51,1.221,2.156,-0.935,3.377
3,66,2.85,6.669,-3.819,9.519
4,53,1.65,4.296,-2.646,5.946
