".y.","group1","group2","n1","n2","p","p.signif","p.adj","p.adj.signif"
"mean","1","2",58,64,1.62e-09,"****",9.71e-09,"****"
"mean","1","3",58,66,0.0111,"*",0.0221,"*"
"mean","2","3",64,66,0.00015,"***",0.000748,"***"
"mean","1","4",58,62,0.00372,"**",0.0112,"*"
"mean","2","4",64,62,0.000856,"***",0.00342,"**"
"mean","3","4",66,62,0.675,"ns",0.675,"ns"
