Month,Year,DlogLTB,DlogMTB,DlogOTB,DlogBoth
2,2014,0,0,NA,0
3,2014,0.073159909,0,NA,0.051010011
4,2014,0,0,NA,0
5,2014,0,0,NA,0
6,2014,0.092840114,0,NA,0.05149698
7,2014,0,0,NA,0
8,2014,0,0,NA,0
9,2014,0,0,NA,0
10,2014,0,0,NA,0
11,2014,0.476039989,0.042332252,NA,0.344435336
12,2014,0.342165202,-0.085644907,NA,0.289392697
1,2015,0,0,NA,0
2,2015,0,0,NA,0
3,2015,0.072141755,0,NA,0.050059316
4,2015,0,0,NA,0
5,2015,0.021479004,0,NA,0.010490001
6,2015,0.036787025,0.076106441,NA,0.059027931
7,2015,0,0.055420773,NA,0.049079143
8,2015,0,0.027127983,NA,0.076148422
9,2015,0.645329545,0,NA,0.249612999
10,2015,0.1923407,0.06243315,NA,0.262784145
11,2015,0.145264887,0.042332252,NA,0.13822304
12,2015,0.124077227,0,NA,0.071168467
1,2016,0,0,NA,0
2,2016,0,0,NA,0
3,2016,0.071625313,0,NA,0.049537785
4,2016,0,0,NA,0
5,2016,0,0,NA,0
6,2016,0.092522455,0,NA,0.05132078
7,2016,0.149068944,0.110841547,NA,0.168537041
8,2016,0.228877359,0,NA,0.121837475
9,2016,0,0,NA,0
10,2016,0,0.065969467,NA,0.208251508
11,2016,0,0,NA,0
12,2016,0.209861027,0,NA,0.120372513
1,2017,0,0,NA,0
2,2017,0,0,NA,0
3,2017,0.071108871,0,NA,0.049016255
4,2017,0,0,NA,0
5,2017,0.155730648,0.096582411,NA,0.117621998
6,2017,0.276878428,0.152212882,NA,0.230825666
7,2017,0.069302884,0,NA,0.032719429
8,2017,0.047682783,-0.015114731,NA,0.050765615
9,2017,0.15475807,0,NA,0.059860309
10,2017,0,0,NA,0
11,2017,0.171354182,0,NA,0.099104883
12,2017,0,-0.085644907,NA,0.093132889
