"Month","Year","MonYr","Depth_mean","Temp_mean","Sal_mean","Secchi_mean","Light_mean","Turbidity_mean","Depth_sd","Temp_sd","Sal_sd","Secchi_sd","Light_sd","Turbidity_sd"
1,2003,Jan 2003,1.6875,14.675,25.275,1.5625,0.9375,0.0625,0.746519702798705,2.8429737951659,1.02102889283311,0.718070330817254,0.125,0.125
1,2004,Jan 2004,1.525,16.175,31.25,1.5,0.986111111111111,0.0138888888888889,0.457347424467075,0.567890834580028,0.264575131106459,0.439696865275764,0.0277777777777778,0.0277777777777778
1,2005,Jan 2005,0.95,15.95,31.225,0.95,1,0,0.251661147842358,0.793725393319377,0.713559154286923,0.251661147842358,0,0
1,2006,Jan 2006,1.125,17.425,32.4,1.125,1,0,0.45,2.00229035523489,0.621825270205922,0.45,0,0
1,2007,Jan 2007,0.875,19.675,32.19,0.875,1,0,0.883883476483184,0.190918830920368,0.509116882454313,0.883883476483184,0,0
1,2008,Jan 2008,1.63333333333333,16.4333333333333,35.8333333333333,1.63333333333333,1,0,0.709459888459759,0.493288286231624,0.230940107675849,0.709459888459759,0,0
1,2009,Jan 2009,1.56666666666667,12.9666666666667,36.8,1.25,0.727272727272727,0.272727272727273,0.929157324317757,1.00166528008778,0.199999999999999,0.901387818865997,0.253080198310456,0.253080198310456
1,2010,Jan 2010,1.3,10.3333333333333,32.8666666666667,1.21666666666667,0.962962962962963,0.0370370370370371,0.841130192063036,0.416333199893227,0.152752523165193,0.70059498523279,0.0641500299099585,0.0641500299099585
1,2011,Jan 2011,1.48333333333333,10.6666666666667,32.6666666666667,1.23333333333333,0.888888888888889,0.111111111111111,0.671441235949456,0.208166599946614,0.680685928555406,0.251661147842358,0.192450089729875,0.192450089729875
1,2012,Jan 2012,2.16666666666667,17.5666666666667,30.7666666666667,1.66666666666667,0.811111111111111,0.188888888888889,1.04083299973307,0.378593889720018,0.378593889720018,0.763762615825973,0.200923792444724,0.200923792444724
1,2013,Jan 2013,1.5,21.9666666666667,33.9,1.16666666666667,0.866666666666667,0.133333333333333,1,0.404145188432737,0.556776436283003,0.577350269189626,0.23094010767585,0.23094010767585
1,2014,Jan 2014,1.83333333333333,17.2333333333333,31.5666666666667,1.75,0.96969696969697,0.0303030303030303,0.877971146071062,0.404145188432738,0.832666399786454,0.75,0.0524863881081478,0.0524863881081478
1,2015,Jan 2015,1.91666666666667,17.1333333333333,31.7333333333333,1.66666666666667,0.923076923076923,0.0769230769230769,1.18145390656315,0.152752523165195,1.02143689640297,0.763762615825973,0.133234677505298,0.133234677505298
1,2016,Jan 2016,1.23333333333333,13.0333333333333,25.1666666666667,1.16666666666667,0.944444444444444,0.0555555555555555,0.0577350269189626,0.230940107675851,5.10522608053094,0.152752523165195,0.0962250448649376,0.0962250448649376
1,2017,Jan 2017,1.65,20.4,33.45,0.9,0.544444444444445,0.455555555555556,0.212132034355964,0.141421356237309,0.353553390593274,0.141421356237309,0.0157134840263677,0.0157134840263677
2,2003,Feb 2003,1.125,NA,NA,1.125,1,0,0.530330085889911,NA,NA,0.530330085889911,0,0
2,2004,Feb 2004,0.75,15.25,30.9,0.8,1.04166666666667,-0.0416666666666667,0.636396103067893,0.212132034355965,1.27279220613579,0.707106781186548,0.0589255650988791,0.0589255650988791
2,2005,Feb 2005,NA,17.95,31.35,2.25,NA,NA,NA,0.777817459305203,0.494974746830583,NA,NA,NA
2,2006,Feb 2006,1.2,12.85,32.4,1.2,1,0,0.424264068711929,0.0707106781186545,0.141421356237312,0.424264068711929,0,0
2,2007,Feb 2007,1.25,17.795,30.05,1.25,1,0,0.353553390593274,0.0212132034355947,0.0707106781186558,0.353553390593274,0,0
2,2008,Feb 2008,1.16666666666667,20.3666666666667,32.0466666666667,1.16666666666667,1,0,0.288675134594813,0.292631736715848,0.410040648391516,0.288675134594813,0,0
2,2009,Feb 2009,1.63333333333333,17.06,33.5933333333333,1.46666666666667,0.933333333333333,0.0666666666666667,0.776745346515403,0.656429737291053,0.61076454819622,0.503322295684717,0.115470053837925,0.115470053837925
2,2010,Feb 2010,1.56666666666667,11.8666666666667,31.2333333333333,1.4,0.933333333333333,0.0666666666666667,0.814452781524708,0.251661147842358,1.74737898961082,0.529150262212918,0.115470053837925,0.115470053837925
2,2011,Feb 2011,1.08333333333333,16.9,32.1333333333333,0.916666666666667,0.916666666666667,0.0833333333333333,0.877971146071062,0.458257569495585,0.115470053837927,0.629152869605896,0.144337567297406,0.144337567297406
2,2012,Feb 2012,2,20.9333333333333,31.9,1.23333333333333,0.623015873015873,0.376984126984127,0.7,0.305505046330388,0.360555127546397,0.642910050732864,0.341800067978553,0.341800067978553
2,2013,Feb 2013,1.56666666666667,19.7666666666667,34.5666666666667,1.31666666666667,0.878306878306878,0.121693121693122,0.791096285753721,0.321455025366432,0.450924975282289,0.548482755730144,0.112612680707898,0.112612680707898
2,2014,Feb 2014,1.75,18.9333333333333,31.5333333333333,1.33333333333333,0.848484848484849,0.151515151515152,0.901387818865997,0.321455025366432,0.493288286231626,0.288675134594813,0.262431940540739,0.262431940540739
2,2015,Feb 2015,1.23333333333333,12.8,30.5333333333333,0.933333333333333,0.779761904761905,0.220238095238095,0.750555349946514,0.346410161513775,1.33166562369588,0.513160143944688,0.195886698475052,0.195886698475052
2,2016,Feb 2016,1.53333333333333,16.7,30.8,1.23333333333333,0.818713450292398,0.181286549707602,0.351188458428425,0.435889894354067,0.608276253029821,0.251661147842358,0.168579360297071,0.168579360297071
