"Year","Month","StoneAdj"
"2006","10",8.68617235935857
"2006","11",6.68637637120321
"2006","12",5.84347285689344
"2007","01",4.11315375469934
"2007","02",6.13359984506731
"2007","03",6.89059106276165
"2007","04",5.91536233999198
"2007","05",6.36536630278003
"2007","06",7.04288868570014
"2007","07",5.39530093622152
"2007","08",5.43312224707461
"2007","09",6.04858299848796
"2007","10",4.93270013713635
"2007","11",4.60809354292038
"2007","12",4.97125063467122
"2008","01",6.07939307093866
"2008","02",6.16971095617842
"2008","03",6.42392439609498
"2008","04",6.75772345110309
"2008","05",5.74731074722447
"2008","06",5.55122201903347
"2008","07",5.0193269102475
"2008","08",6.68867780263016
"2008","09",6.7632655381705
"2008","10",6.75283902602524
"2008","11",7.98183091665775
"2008","12",8.27541730133789
"2009","01",4.90994862649421
"2009","02",4.82596095617842
"2009","03",5.92392439609498
"2009","04",5.26189011776975
"2009","05",4.82786630278003
"2009","06",5.39288868570014
"2009","07",7.56575548167607
"2009","08",5.69978891374127
"2009","09",6.27993220483717
"2009","10",6.5349818831681
"2009","11",5.66989909847594
"2009","12",6.94347285689344
"2010","01",4.57661529316088
"2010","02",7.3724887339562
"2010","03",4.74892439609498
"2010","04",6.73689011776975
"2010","05",6.55286630278003
"2010","06",7.24288868570014
"2010","07",7.4240888150094
"2010","08",7.71367780263016
"2010","09",7.19778934769431
"2010","10",6.37783902602524
"2010","11",5.83864909847594
"2010","12",5.81847285689344
"2011","01",9.26550418204977
"2011","02",6.5543263407938
"2011","03",6.45447995165054
"2011","04",6.46189011776975
"2011","05",6.20286630278003
"2011","06",6.22622201903347
"2011","07",4.62964437056496
"2011","08",5.08162443713407
"2011","09",5.09243220483717
"2011","10",3.98617235935857
"2011","11",4.67614909847594
"2011","12",6.17333396800456
"2012","01",5.26411529316088
"2012","02",4.59471095617842
"2012","03",5.44892439609498
"2012","04",4.76189011776975
"2012","05",4.8195329694467
"2012","06",3.04288868570014
"2012","07",5.33242214834274
"2012","08",5.25812224707461
"2012","09",7.66743220483717
"2012","10",6.78617235935857
"2012","11",7.92198243180927
"2012","12",2.624028412449
"2013","01",4.98217084871644
"2013","02",4.23637762284509
"2013","03",4.79892439609498
"2013","04",5.07260440348404
"2013","05",4.55286630278003
"2013","06",4.57622201903347
"2013","07",4.30325548167607
"2013","08",4.53312224707461
"2013","09",4.2132655381705
"2013","10",6.34450569269191
"2013","11",5.66364909847594
"2013","12",6.88236174578233
"2014","01",6.02105973760533
"2014","02",5.29113952760699
"2014","03",6.30864661831721
"2014","04",6.44175122888086
"2014","05",8.02786630278003
"2014","06",6.49705535236681
"2014","07",5.76575548167607
"2014","08",4.52756669151905
"2014","09",4.72159887150383
"2014","10",4.26117235935857
"2014","11",4.57614909847594
"2014","12",3.46847285689344
"2015","01",3.36352005506564
"2015","02",4.86137762284509
"2015","03",4.49892439609498
"2015","04",6.53966789554753
"2015","05",6.48215923207296
"2015","06",6.96233313014458
"2015","07",6.40980310072369
"2015","08",7.48312224707461
"2015","09",5.51048776039272
"2015","10",5.31325569269191
"2015","11",5.71364909847594
"2015","12",7.11847285689344
"2016","01",7.22661529316088
"2016","02",6.98756809903556
"2016","03",5.60725772942832
"2016","04",4.30077900665864
"2016","05",5.1945329694467
"2016","06",6.22622201903347
"2016","07",5.66575548167607
"2016","08",5.1470111359635
"2016","09",4.07368220483717
"2016","10",6.23617235935857
"2016","11",4.73864909847594
"2016","12",4.89347285689344
"2017","01",5.36550418204977
"2017","02",6.19471095617842
"2017","03",6.89267439609498
"2017","04",4.88948752036716
"2017","05",4.1005935755073
"2017","06",4.02899979681125
"2017","07",5.66575548167607
"2017","08",5.97687224707461
"2017","09",5.94243220483717
"2017","10",4.67228347046968
"2017","11",4.31364909847594
"2017","12",6.20029103871163
