"Month","Year","DlogLTB","DlogMTB","DlogOTB","DlogBoth"
8,2002,0.271277429707042,NA,NA,0.260544699377465
9,2002,1.27858463531277,NA,NA,0.970594321473061
10,2002,0.955401845913822,NA,NA,0.648466845592618
11,2002,0.816259694777401,NA,NA,0.9448594645573
12,2002,0,0,0.284864532854545,0
1,2003,0,0,0,0
2,2003,0,0,0,0
3,2003,0.74343330173204,0,0.367049913290866,0.67085382905115
4,2003,1.15945163945094,1.30275150573812,0.734099826581733,1.17644217563332
5,2003,0.0718871709413397,0.570120235651644,0.0849419779723608,0.0741852929514588
6,2003,0,0,0.226844926197314,0
7,2003,0.089452231524852,0,0.6772924071333,0.0416144680026355
8,2003,0.150132048976578,0.138557018241837,0.6772924071333,0.144192274343529
9,2003,0,-0.964993691107067,0.6772924071333,0.824559271766732
10,2003,0.359868488606823,0.0732814313208479,0.356950190976781,0.317826559304497
11,2003,0.578029549481837,0.313022797010204,0.274052066077323,0.610070582380393
12,2003,0.423996578914198,-0.28196026196281,0.284864532854545,0.481091971640358
1,2004,0,0,0,0
2,2004,0,0,0,0
3,2004,0.159994089839864,0,0,0.0809698603159086
4,2004,0,0,0,0
5,2004,0.139369230874721,0.801867246382837,0.152256902883998,0.278037764090173
6,2004,0.24608324586393,0.250474087154096,0.0877555965063432,0.201286495226601
7,2004,0,0,0,0
8,2004,0,0,0,0
9,2004,0,0,0,0
10,2004,0.0324366921570092,0.00891755889848315,0.113859632590028,0.0261199747228377
11,2004,0.00685203309541896,0.0318392601526685,0.169969121226677,0.0136475891861597
12,2004,0.0210101748113678,0.0118629859850554,0.185689420915106,0.0458109339934714
1,2005,2.56803254101306,0.10617238516782,0.667461148793402,3.07608238047455
2,2005,2.75146343679971,0.134664043073557,0.667461148793402,3.29580255050845
3,2005,2.01239367171146,0,0.664387284789341,2.2968962756031
4,2005,0.960762511276896,1.45033078220901,0.661313420785281,1.1393760419031
5,2005,0.283768057050822,0.843385315554749,0.284574301471736,0.29283968428469
6,2005,0.0734855409472805,0.603201706959497,0.473206031987497,0.195760893613715
