"Year","Month","FBCAdj"
"2002","01",9.82291326597348
"2002","02",16.2919867062336
"2002","03",17.5973463753932
"2002","04",21.7505033379272
"2002","05",19.6202104681199
"2002","06",18.8584005766262
"2002","07",24.1117741576036
"2002","08",16.9368832456688
"2002","09",13.6319495016807
"2002","10",18.6246213620259
"2002","11",25.3486066285883
"2002","12",19.2049835699634
"2003","01",7.45184183740205
"2003","02",13.6663739611356
"2003","03",19.5445202884366
"2003","04",16.0056864881103
"2003","05",13.0291298820394
"2003","06",14.5073589099595
"2003","07",16.7239662758302
"2003","08",15.0615535753391
"2003","09",15.5307752592564
"2003","10",12.6302349983895
"2003","11",14.3444838215707
"2003","12",12.6679699953028
"2004","01",11.4029132659735
"2004","02",14.2499033729003
"2004","03",16.3541884806563
"2004","04",18.3987341071579
"2004","05",11.713448563358
"2004","06",16.0679226354497
"2004","07",12.2482488119815
"2004","08",12.6784766522622
"2004","09",24.4185107665028
"2004","10",16.1566606740652
"2004","11",13.2499607952549
"2004","12",18.9132314332113
"2005","01",16.1677509283111
"2005","02",13.5632367062336
"2005","03",11.3685963753932
"2005","04",14.3519563293802
"2005","05",10.7867293515354
"2005","06",10.8694422432928
"2005","07",16.4119170147465
"2005","08",12.4670780508636
"2005","09",17.2357997690604
"2005","10",12.8926129053663
"2005","11",18.1665232952549
"2005","12",10.9108337723926
"2006","01",18.1451275516878
"2006","02",17.4044488274457
"2006","03",16.9069805217346
"2006","04",14.4494960119198
"2006","05",12.8039707308457
"2006","06",11.677127428478
"2006","07",15.258145586175
"2006","08",13.4402314599545
"2006","09",16.133879000753
"2006","10",13.3255795929841
"2006","11",11.610879355861
"2006","12",9.76072465814355
"2007","01",12.8958161963764
"2007","02",12.5385033729003
"2007","03",11.6041110812755
"2007","04",11.9400999608165
"2007","05",9.27059142050089
"2007","06",10.7655387345209
"2007","07",17.3409011417306
"2007","08",11.0305689599545
"2007","09",13.7300585925898
"2007","10",13.211952740325
"2007","11",12.5632362582179
"2007","12",13.8292383776557
"2008","01",11.539341837402
"2008","02",14.3405283729003
"2008","03",19.4837100117568
"2008","04",11.6147341071579
"2008","05",7.50163903954851
"2008","06",16.6905696942732
"2008","07",12.0835274043569
"2008","08",13.438521901131
"2008","09",11.2869495016807
"2008","10",13.9505502157808
"2008","11",8.00152329525494
"2008","12",15.5878758776557
"2009","01",13.916841837402
"2009","02",15.5376811506781
"2009","03",11.0201241531709
"2009","04",16.1328822553061
"2009","05",16.503179655795
"2009","06",15.3138470051976
"2009","07",8.99801225284171
"2009","08",7.57071441449995
"2009","09",5.29352525925643
"2009","10",13.2084849983895
"2009","11",9.91418633873321
"2009","12",15.5211758776557
"2010","01",12.0554782010384
"2010","02",13.5599033729003
"2010","03",12.7152035182503
"2010","04",10.3570417994656
"2010","05",17.4369157448252
"2010","06",11.6221986535492
"2010","07",14.1021197797234
"2010","08",14.4587403885259
"2010","09",15.0202270136424
"2010","10",14.8059849983895
"2010","11",15.2954248104065
"2010","12",13.2416502366301
"2011","01",12.211216837402
"2011","02",10.5838617062336
"2011","03",10.9083880420598
"2011","04",9.42612945599515
"2011","05",13.6712580871676
"2011","06",12.2630255766262
"2011","07",12.5572968056872
"2011","08",18.8450975313831
"2011","09",15.7309355156667
"2011","10",18.5384849983895
"2011","11",14.0524472082984
"2011","12",7.09156476654463
"2012","01",16.2451751707354
"2012","02",14.998432784665
"2012","03",15.1492213753932
"2012","04",18.585845218269
"2012","05",15.1180459659554
"2012","06",12.8288470051976
"2012","07",9.04688404771351
"2012","08",13.7855439599545
"2012","09",9.95285859258977
"2012","10",8.28825772566224
"2012","11",9.8846211213419
"2012","12",12.3269258776557
"2013","01",10.311841837402
"2013","02",11.8477879882849
"2013","03",8.22734637539316
"2013","04",8.48217596762306
"2013","05",16.7821152300247
"2013","06",12.3986089099595
"2013","07",10.3811148169443
"2013","08",16.3985499123354
"2013","09",12.9142871640183
"2013","10",11.9354849983895
"2013","11",12.1559875809692
"2013","12",11.2348497906992
"2014","01",10.7398853156629
"2014","02",11.2105485341906
"2014","03",12.0897749468217
"2014","04",8.39006744049127
"2014","05",13.6154946463073
"2014","06",8.73207557662617
"2014","07",9.30943649526595
"2014","08",14.18713670189
"2014","09",10.0701662848975
"2014","10",10.7406401708033
"2014","11",11.3822087791259
"2014","12",15.426468981104
"2015","01",18.9147728718848
"2015","02",9.38566094865786
"2015","03",9.01656859761539
"2015","04",11.8421626785865
"2015","05",11.3325914205009
"2015","06",12.7839119402625
"2015","07",12.8645122528417
"2015","08",12.5286689599545
"2015","09",9.63674748147866
"2015","10",7.8073007878632
"2015","11",11.9034551134368
"2015","12",12.986468981104
"2016","01",12.8072122077724
"2016","02",10.0906726036695
"2016","03",11.895489232536
"2016","04",11.8284841071579
"2016","05",13.0907164205009
"2016","06",8.99120150255209
"2016","07",8.92404123834896
"2016","08",7.64581181709735
"2016","09",9.57171573544691
"2016","10",13.5144465368511
"2016","11",11.2434875809692
"2016","12",10.2041910291709
"2017","01",13.7886367091969
"2017","02",15.006570039567
"2017","03",11.3181528270061
"2017","04",15.3795912500151
"2017","05",13.6487452666547
"2017","06",19.8167755766262
"2017","07",15.6101842958525
"2017","08",10.8047403885259
"2017","09",10.6023824021136
"2017","10",11.6392608604585
"2017","11",11.2015890847286
"2017","12",9.92512032210019
