".y.","group1","group2","n1","n2","p","p.signif","p.adj","p.adj.signif"
"mean","LTB","MTB",176,129,0.53,"ns",0.53,"ns"
"mean","LTB","OTB",176,32,0.0109,"*",0.0219,"*"
"mean","MTB","OTB",129,32,0.00452,"**",0.0136,"*"
