".y.","group1","group2","n1","n2","p","p.signif","p.adj","p.adj.signif"
"mean","1","2",78,88,6.96e-13,"****",4.18e-12,"****"
"mean","1","3",78,89,0.0169,"*",0.0203,"*"
"mean","2","3",88,89,2.66e-07,"****",7.97e-07,"****"
"mean","1","4",78,82,0.000956,"***",0.00143,"**"
"mean","2","4",88,82,4.46e-05,"****",8.91e-05,"****"
"mean","3","4",89,82,0.312,"ns",0.312,"ns"
