"Year","Total","Letters"
2002,351936.23,"abc"
2003,263479.97,"abcd"
2004,442541.82,"ab"
2005,137607.13,"cdef"
2006,268416.68,"abcde"
2007,349375.08,"cdef"
2008,460963.21,"a"
2009,258875.76,"abcd"
2010,277614.36,"abcd"
2011,139503.87,"bcde"
2012,226361.06,"bcde"
2013,130122.32,"f"
2014,103325.9,"ef"
2015,220424.58,"abcde"
2016,237977.68,"def"
2017,137714.79,"bcde"
