"Bay","n","mean","sd","lower","upper","Letters"
"LTB",946,1.144,4.02,-2.876,5.164,"a"
"MTB",144,0.965,3.928,-2.963,4.893,"a"
"OTB",78,3.487,13.752,-10.265,17.239,"b"
