"Year","Total","Letters"
2002,558704.75,"defg"
2003,725491.67,"bcd"
2004,782564.79,"bc"
2005,907947.18,"ab"
2006,1038700.62,"a"
2007,666843.9,"cde"
2008,271042.27,"h"
2009,277447.77,"h"
2010,661979.52,"cde"
2011,596597.58,"cdef"
2012,497437.64,"efg"
2013,458966.47,"fgh"
2014,568923.16,"def"
2015,368826.64,"gh"
2016,475280.62,"efg"
2017,502843.58,"efg"
