"Bay","Year","Month","Quarter","variable","n","mean","sd"
"MTB","2009",9,"4","effort",12,6.859,11.291
"OTB","2009",9,"4","effort",1,1.4,NA
"HB","2010",9,"4","effort",11,11.774,15.503
"LTB","2010",9,"4","effort",2,21.3,28.143
"MTB","2010",9,"4","effort",17,10.105,12.201
"OTB","2010",9,"4","effort",8,29.724,16.402
"HB","2011",9,"4","effort",5,3.516,3.567
"LTB","2011",9,"4","effort",3,41.2,0
"MTB","2011",9,"4","effort",12,11.234,14.259
"OTB","2011",9,"4","effort",6,23.413,20.027
"HB","2012",9,"4","effort",3,20.897,17.897
"LTB","2012",9,"4","effort",1,0,NA
"MTB","2012",9,"4","effort",8,3.654,3.11
"OTB","2012",9,"4","effort",1,41.2,NA
"HB","2013",9,"4","effort",1,7.41,NA
"LTB","2013",9,"4","effort",4,21.3,22.979
"MTB","2013",9,"4","effort",8,6.376,4.12
"OTB","2013",9,"4","effort",1,41.2,NA
"HB","2014",9,"4","effort",6,9.427,15.791
"LTB","2014",9,"4","effort",1,41.2,NA
"MTB","2014",9,"4","effort",13,8.455,10.226
"OTB","2014",9,"4","effort",6,10.27,16.075
"HB","2015",9,"4","effort",4,0.86,0.36
"LTB","2015",9,"4","effort",1,41.2,NA
"MTB","2015",9,"4","effort",10,8.999,11.623
"OTB","2015",9,"4","effort",3,14.667,22.979
"HB","2016",9,"4","effort",11,5.784,12.031
"LTB","2016",9,"4","effort",1,1.4,NA
"MTB","2016",9,"4","effort",17,8.955,12.835
"OTB","2016",9,"4","effort",6,21.3,21.799
"HB","2017",9,"4","effort",3,2.923,3.886
"LTB","2017",9,"4","effort",1,41.2,NA
"MTB","2017",9,"4","effort",14,9.622,13.71
"OTB","2017",9,"4","effort",3,14.667,22.979
"HB","2002",10,"3","effort",2,21.3,28.143
"LTB","2002",10,"3","effort",1,41.2,NA
"MTB","2002",10,"3","effort",7,16.1,17.285
"OTB","2002",10,"3","effort",1,0,NA
"HB","2003",10,"3","effort",3,10.053,10.752
"LTB","2003",10,"3","effort",4,26.472,18.988
"MTB","2003",10,"3","effort",26,7.263,11.052
"OTB","2003",10,"3","effort",7,21.413,19.902
"HB","2004",10,"3","effort",5,19.432,20.042
"LTB","2004",10,"3","effort",7,24.369,17.867
"MTB","2004",10,"3","effort",20,8.775,14.27
"OTB","2004",10,"3","effort",5,25.28,21.799
"HB","2005",10,"3","effort",3,12.6,4.51
"LTB","2005",10,"3","effort",9,17.649,18.493
"MTB","2005",10,"3","effort",23,9.049,13.11
"OTB","2005",10,"3","effort",8,14.613,17.372
"HB","2006",10,"3","effort",6,1.798,2.404
"LTB","2006",10,"3","effort",4,14.52,18.764
"MTB","2006",10,"3","effort",22,11.679,14.864
"OTB","2006",10,"3","effort",5,27.816,18.867
"HB","2007",10,"3","effort",4,2.538,2.776
"LTB","2007",10,"3","effort",2,1.4,0
"MTB","2007",10,"3","effort",19,7.972,12.181
"OTB","2007",10,"3","effort",6,36.928,10.463
"HB","2008",10,"3","effort",9,7.073,13.583
"LTB","2008",10,"3","effort",1,41.2,NA
"MTB","2008",10,"3","effort",10,7.49,12.688
"OTB","2008",10,"3","effort",3,41.2,0
"HB","2009",10,"3","effort",4,10.81,20.26
"LTB","2009",10,"3","effort",1,41.2,NA
"MTB","2009",10,"3","effort",10,11.472,15.925
"OTB","2009",10,"3","effort",1,0,NA
"HB","2010",10,"3","effort",7,4.833,5.658
"LTB","2010",10,"3","effort",2,21.3,28.143
"MTB","2010",10,"3","effort",14,12.454,15.862
"OTB","2010",10,"3","effort",9,22.072,18.88
"HB","2011",10,"3","effort",1,41.2,NA
"LTB","2011",10,"3","effort",3,27.933,22.979
"MTB","2011",10,"3","effort",7,8.489,14.654
"OTB","2011",10,"3","effort",5,20.004,20.11
"HB","2012",10,"3","effort",5,3.368,3.375
"LTB","2012",10,"3","effort",1,0,NA
"MTB","2012",10,"3","effort",10,6.076,12.616
"OTB","2012",10,"3","effort",6,14.667,20.553
"HB","2013",10,"3","effort",3,29.937,19.509
"LTB","2013",10,"3","effort",2,21.3,28.143
"MTB","2013",10,"3","effort",14,6.506,10.427
"OTB","2013",10,"3","effort",1,0,NA
"HB","2014",10,"3","effort",4,0.68,0
"LTB","2014",10,"3","effort",1,1.4,NA
"MTB","2014",10,"3","effort",18,6.538,9.265
"OTB","2014",10,"3","effort",6,27.933,20.553
"HB","2015",10,"3","effort",6,5.52,5.496
"LTB","2015",10,"3","effort",1,1.4,NA
"MTB","2015",10,"3","effort",9,8.999,12.435
"OTB","2015",10,"3","effort",3,6.123,8.181
"HB","2016",10,"3","effort",11,9.267,15.954
"LTB","2016",10,"3","effort",1,41.2,NA
"MTB","2016",10,"3","effort",10,8.908,12.141
"OTB","2016",10,"3","effort",4,24.843,19.754
"HB","2017",10,"3","effort",6,3.157,5.721
"LTB","2017",10,"3","effort",2,21.3,28.143
"MTB","2017",10,"3","effort",19,13.217,15.242
"OTB","2017",10,"3","effort",2,1.4,0
"HB","2002",11,"3","effort",1,41.2,NA
"LTB","2002",11,"3","effort",2,31.645,13.513
"MTB","2002",11,"3","effort",12,20.052,18.876
"OTB","2002",11,"3","effort",3,27.933,22.979
"HB","2003",11,"3","effort",5,11.932,9.558
"LTB","2003",11,"3","effort",6,14.667,20.553
"MTB","2003",11,"3","effort",21,10.089,13.864
"OTB","2003",11,"3","effort",6,21.3,21.799
"HB","2004",11,"3","effort",6,6.488,8.218
"LTB","2004",11,"3","effort",2,31.645,13.513
"MTB","2004",11,"3","effort",17,10.715,15.502
"OTB","2004",11,"3","effort",7,12.997,15.805
"HB","2005",11,"3","effort",4,1.988,2.162
"LTB","2005",11,"3","effort",7,21.233,19.171
"MTB","2005",11,"3","effort",14,13.834,15.739
"OTB","2005",11,"3","effort",7,26.06,19.406
"HB","2006",11,"3","effort",6,9.677,15.791
"LTB","2006",11,"3","effort",5,17.32,21.799
"MTB","2006",11,"3","effort",20,7.934,12.207
"OTB","2006",11,"3","effort",2,14.82,0
"HB","2007",11,"3","effort",8,8.445,14.231
"LTB","2007",11,"3","effort",1,1.4,NA
"MTB","2007",11,"3","effort",11,6.785,4.847
"OTB","2007",11,"3","effort",7,22.08,18.624
"HB","2008",11,"3","effort",4,4.415,4.355
"LTB","2008",11,"3","effort",1,41.2,NA
"MTB","2008",11,"3","effort",10,3.298,3.404
"OTB","2008",11,"3","effort",1,11.86,NA
"HB","2009",11,"3","effort",5,1.112,0.394
"LTB","2009",11,"3","effort",1,1.4,NA
"MTB","2009",11,"3","effort",12,10.552,14.615
"OTB","2009",11,"3","effort",5,11.896,17.277
"HB","2010",11,"3","effort",11,4.538,5.544
"LTB","2010",11,"3","effort",3,27.933,22.979
"MTB","2010",11,"3","effort",11,11.17,15.137
"OTB","2010",11,"3","effort",8,24.749,18.345
"HB","2011",11,"3","effort",4,2.538,2.776
"LTB","2011",11,"3","effort",2,21.3,28.143
"MTB","2011",11,"3","effort",9,13.094,16.154
"OTB","2011",11,"3","effort",8,14.705,17.37
"HB","2012",11,"3","effort",9,2.336,2.893
"LTB","2012",11,"3","effort",1,41.2,NA
"MTB","2012",11,"3","effort",9,3.587,3.294
"OTB","2012",11,"3","effort",4,24.47,20
"HB","2013",11,"3","effort",7,7.53,15.002
"LTB","2013",11,"3","effort",2,41.2,0
"MTB","2013",11,"3","effort",10,8.544,11.786
"OTB","2013",11,"3","effort",2,1.4,0
"HB","2014",11,"3","effort",8,2.723,2.91
"LTB","2014",11,"3","effort",1,41.2,NA
"MTB","2014",11,"3","effort",20,9.336,14.022
"OTB","2014",11,"3","effort",2,28.01,18.653
"HB","2015",11,"3","effort",4,12.673,19.256
"LTB","2015",11,"3","effort",2,1.4,0
"MTB","2015",11,"3","effort",13,7.011,11.19
"OTB","2015",11,"3","effort",3,27.933,22.979
"HB","2016",11,"3","effort",7,7.53,15.002
"LTB","2016",11,"3","effort",2,21.3,28.143
"MTB","2016",11,"3","effort",12,7.295,11.095
"OTB","2016",11,"3","effort",7,12.771,19.42
"HB","2017",11,"3","effort",8,11.054,13.545
"LTB","2017",11,"3","effort",3,27.933,22.979
"MTB","2017",11,"3","effort",19,5.519,9.617
"OTB","2017",11,"3","effort",8,11.35,18.424
"HB","2002",12,"3","effort",4,22.248,21.939
"LTB","2002",12,"3","effort",1,41.2,NA
"MTB","2002",12,"3","effort",7,5.661,7.909
"OTB","2002",12,"3","effort",1,41.2,NA
"HB","2003",12,"3","effort",7,2.703,2.988
"LTB","2003",12,"3","effort",2,11.745,14.63
"MTB","2003",12,"3","effort",15,8.876,11.325
"OTB","2003",12,"3","effort",10,15.409,18.908
"HB","2004",12,"3","effort",7,11.656,14.998
"LTB","2004",12,"3","effort",5,33.24,17.799
"MTB","2004",12,"3","effort",16,10.924,16.024
"OTB","2004",12,"3","effort",8,18.911,19.738
"HB","2005",12,"3","effort",7,4.833,5.658
"LTB","2005",12,"3","effort",4,18.06,16.673
"MTB","2005",12,"3","effort",22,6.775,11.55
"OTB","2005",12,"3","effort",5,9.304,7.222
"HB","2006",12,"3","effort",8,2.265,2.518
"LTB","2006",12,"3","effort",2,8.485,10.02
"MTB","2006",12,"3","effort",24,5.228,8.55
"OTB","2006",12,"3","effort",7,16.82,17.82
"HB","2007",12,"3","effort",5,11.476,16.954
"LTB","2007",12,"3","effort",3,5.873,7.748
"MTB","2007",12,"3","effort",17,7.635,13.206
"OTB","2007",12,"3","effort",7,20.374,20.05
"HB","2008",12,"3","effort",3,3.163,3.695
"LTB","2008",12,"3","effort",1,41.2,NA
"MTB","2008",12,"3","effort",16,8.643,13.112
"OTB","2008",12,"3","effort",5,25.28,21.799
"HB","2009",12,"3","effort",4,5.892,6.237
"LTB","2009",12,"3","effort",2,1.4,0
"MTB","2009",12,"3","effort",9,13.842,15.647
"OTB","2009",12,"3","effort",5,20.004,20.11
"HB","2010",12,"3","effort",16,6.933,10.817
"LTB","2010",12,"3","effort",3,41.2,0
"MTB","2010",12,"3","effort",15,7.913,10.077
"OTB","2010",12,"3","effort",5,9.452,7.35
"HB","2011",12,"3","effort",7,6.777,15.183
"LTB","2011",12,"3","effort",1,0,NA
"MTB","2011",12,"3","effort",16,3.723,10.133
"OTB","2011",12,"3","effort",3,1.4,0
"HB","2012",12,"3","effort",12,9.853,15.272
"LTB","2012",12,"3","effort",3,14.667,22.979
"MTB","2012",12,"3","effort",16,7.454,10.075
"OTB","2012",12,"3","effort",9,10.297,13.292
"HB","2013",12,"3","effort",5,1.256,0.322
"LTB","2013",12,"3","effort",2,1.4,0
"MTB","2013",12,"3","effort",12,6.923,11.327
"OTB","2013",12,"3","effort",4,24.47,20
"HB","2014",12,"3","effort",10,6.963,12.839
"LTB","2014",12,"3","effort",1,14.82,NA
"MTB","2014",12,"3","effort",13,16.71,17.38
"OTB","2014",12,"3","effort",5,11.896,17.277
"HB","2015",12,"3","effort",3,9.86,7.959
"LTB","2015",12,"3","effort",4,14.892,18.767
"MTB","2015",12,"3","effort",14,3.182,2.95
"OTB","2015",12,"3","effort",8,19.588,18.696
"HB","2016",12,"3","effort",7,2.7,2.731
"LTB","2016",12,"3","effort",5,11.6,17.243
"MTB","2016",12,"3","effort",17,9.185,12.578
"OTB","2016",12,"3","effort",4,1.4,0
"HB","2017",12,"3","effort",10,2.981,4.397
"LTB","2017",12,"3","effort",3,27.933,22.979
"MTB","2017",12,"3","effort",24,6.717,8.693
"OTB","2017",12,"3","effort",8,4.755,6.212
