"Bay","Year","Month","Quarter","variable","n","mean","sd"
"HB","2013",2,"1","effort",10,3.584,4.683
"LTB","2013",2,"1","effort",8,11.409,13.772
"MTB","2013",2,"1","effort",24,5.45,8.537
"OTB","2013",2,"1","effort",10,14.655,15.329
"HB","2014",2,"1","effort",13,5.088,5.995
"LTB","2014",2,"1","effort",1,41.2,NA
"MTB","2014",2,"1","effort",15,6.915,10.337
"OTB","2014",2,"1","effort",2,5.145,5.296
"HB","2015",2,"1","effort",10,6.194,6.472
"LTB","2015",2,"1","effort",3,1.4,0
"MTB","2015",2,"1","effort",14,3.457,3.235
"OTB","2015",2,"1","effort",6,10.147,16.036
"HB","2016",2,"1","effort",8,4.215,4.815
"LTB","2016",2,"1","effort",3,5.38,6.894
"MTB","2016",2,"1","effort",21,5.131,9.067
"OTB","2016",2,"1","effort",7,11.027,14.823
"HB","2017",2,"1","effort",13,7.288,11.506
"LTB","2017",2,"1","effort",6,23.662,19.897
"MTB","2017",2,"1","effort",15,7.961,10.006
"OTB","2017",2,"1","effort",8,12.9,13.136
"HB","2002",3,"1","effort",7,11.659,15.045
"LTB","2002",3,"1","effort",3,28.46,11.033
"MTB","2002",3,"1","effort",17,10.339,13.402
"OTB","2002",3,"1","effort",3,41.2,0
"HB","2003",3,"1","effort",3,14.667,22.979
"LTB","2003",3,"1","effort",3,15.193,11.945
"MTB","2003",3,"1","effort",14,17.718,16.728
"OTB","2003",3,"1","effort",3,21.563,19.905
"HB","2004",3,"1","effort",4,4.045,3.886
"LTB","2004",3,"1","effort",7,27.324,14.899
"MTB","2004",3,"1","effort",25,12.501,14.744
"OTB","2004",3,"1","effort",2,11.745,14.63
"HB","2005",3,"1","effort",7,12.637,13.739
"LTB","2005",3,"1","effort",1,0,NA
"MTB","2005",3,"1","effort",24,7.324,11.284
"OTB","2005",3,"1","effort",8,13.551,13.247
"HB","2006",3,"1","effort",4,7.21,5.482
"LTB","2006",3,"1","effort",9,23.562,17.521
"MTB","2006",3,"1","effort",22,11.594,13.073
"OTB","2006",3,"1","effort",6,18.847,10.967
"HB","2007",3,"1","effort",11,10.794,11.833
"LTB","2007",3,"1","effort",6,16.903,19.525
"MTB","2007",3,"1","effort",27,6.588,10.67
"OTB","2007",3,"1","effort",7,12.731,14.179
"HB","2008",3,"1","effort",5,12.218,17.215
"LTB","2008",3,"1","effort",2,8.485,10.02
"MTB","2008",3,"1","effort",12,17.288,18.458
"OTB","2008",3,"1","effort",3,32.657,14.797
"HB","2009",3,"1","effort",5,6.34,5.522
"LTB","2009",3,"1","effort",1,0,NA
"MTB","2009",3,"1","effort",17,6.577,9.751
"OTB","2009",3,"1","effort",4,24.655,19.875
"HB","2010",3,"1","effort",7,4.514,5.312
"LTB","2010",3,"1","effort",3,27.933,22.979
"MTB","2010",3,"1","effort",23,6.51,11.339
"OTB","2010",3,"1","effort",9,20.302,16.506
"HB","2011",3,"1","effort",13,4.115,5.497
"LTB","2011",3,"1","effort",8,19.68,18.666
"MTB","2011",3,"1","effort",23,7.836,11.405
"OTB","2011",3,"1","effort",4,8.485,8.181
"HB","2012",3,"1","effort",8,12.73,12.877
"LTB","2012",3,"1","effort",5,20.004,20.11
"MTB","2012",3,"1","effort",14,7.414,10.563
"OTB","2012",3,"1","effort",5,22.688,17.765
"HB","2013",3,"1","effort",12,4.338,5.407
"LTB","2013",3,"1","effort",3,1.4,0
"MTB","2013",3,"1","effort",26,5.133,8.391
"OTB","2013",3,"1","effort",9,13.227,16.843
"HB","2014",3,"1","effort",6,9.917,15.631
"LTB","2014",3,"1","effort",3,5.873,7.748
"MTB","2014",3,"1","effort",20,9.36,14.395
"OTB","2014",3,"1","effort",6,14.497,14.537
