"Year","n","mean","sd","lower","upper","Letters"
2002,2,3,2.828,0.172,5.828,"ab"
2003,27,5.111,17.82,-12.709,22.931,"a"
2004,21,0.333,0.796,-0.463,1.129,"b"
2005,28,4.321,14.887,-10.566,19.208,"ab"
